English,Spanish,Where it appears
${0}/unit,${0}/unidad,"Vendors, a vendor, a linked supply's cost"
(All Sites),(todos los sitios),"Inspections, Reports, the printed report"
(arriving with templates),(llega con las plantillas),"Reports, adding or editing a report, a source that is not live yet"
(use form default),(usar la del formulario),"HR Records, a folder, a form's category"
(via {0}),(por {0}),"Forms, Submissions, the toast after auto-link"
({0} enabled),({0} habilitados),"Forms, the Jotform line at the top"
({0} new),({0} nuevos),"Forms, the Jotform line at the top"
+ Add,+ Agregar,"Settings, Dropdown Options; Settings, Site Lookups"
+ Add Document,+ Agregar documento,"HR Records, a folder; HR Records, Documents"
+ Add Other,+ Agregar otro,"HR Records, Other"
+ Add Training,+ Agregar capacitación,"HR Records, Training"
+ Add Value,+ Agregar valor,"Settings, Dropdown Options"
+ Custom Step,+ Paso personalizado,"HR Records, Onboarding"
", resolved {0} failure record(s)",", se resolvieron {0} registro(s) de fallo","Forms, Sync Diagnostic, the toast after a retry"
", resolved {0} prior failure(s)",", se resolvieron {0} fallo(s) anterior(es)","Forms, Sync Diagnostic, the toast after a forced fetch"
2150000000 or name@email.com,2150000000 o nombre@correo.com,The sign-in card
48 hour reminder to the team,Recordatorio de 48 horas al equipo,"Cases, a case's window, the access log"
72 hour reminder to the team,Recordatorio de 72 horas al equipo,"Cases, a case's window, the access log"
< Prev,< Anterior,Schedule
A Speak Up report is filed,Se presenta un informe en Confianza,"Settings, Who gets told, a kind of report"
A form is submitted,Se envía un formulario,"Settings, Who gets told, a kind of report"
A problem is reported,Se informa una incidencia,"Settings, Who gets told, a kind of report"
A reason for reassignment is required,Se requiere un motivo para reasignar,"Assigned Tasks, reassigning a task"
A report name is required,El nombre del informe es obligatorio,"Reports, adding or editing a report"
A staff member is requesting to drop this shift.,Una persona solicita darse de baja de este turno.,Shift Pickup
"A staff member is requesting to drop this shift. Approve to open it for pickup, deny to keep the original assignment, or reassign directly.","Una persona solicita darse de baja de este turno. Apruebe para abrirlo a quien quiera tomarlo, deniegue para dejar la asignación original, o reasigne directamente.",Schedule
"A staff member is requesting to drop this shift. Approve to open it for pickup, or deny to keep it assigned.","Una persona solicita darse de baja de este turno. Apruebe para abrirlo a quien quiera tomarlo, o deniegue para dejarlo asignado.","Schedule, a shift with a drop request"
A supervisor completes this part at a desk. The app cannot fill it in yet.,Un supervisor completa esta parte en un escritorio. La aplicación todavía no puede completarla.,"Forms, a filed report, the supervisor section"
A supply request is made,Se hace una solicitud de suministros,"Settings, Who gets told, a kind of report"
A training name and a type are required,El nombre de la capacitación y el tipo son obligatorios,"HR Records, logging training for several people, a save with no name or no type"
A unique QR code will be generated automatically.,Se generará automáticamente un código QR único.,"Inventory, adding a supply"
A worker cannot resolve an assigned problem,Un trabajador no puede resolver una incidencia asignada,"Settings, Who gets told, a kind of report"
ADP payroll export,Exportación de nómina a ADP,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, a capability's name"
API Connection,Conexión con la API,"Forms, Settings"
"Access each role has in the platform today, by area. Manage means full access, including create, edit, and delete. View means read access. Other labels describe a scoped or limited form of access. This is a reference and does not change access.","El acceso que cada rol tiene hoy en la plataforma, por área. Administrar significa acceso completo, incluidos crear, editar y eliminar. Ver significa acceso de lectura. Las demás etiquetas describen un acceso acotado o limitado. Esta es una referencia y no cambia el acceso.","Settings, Roles and Permissions, the role reference"
Access log,Registro de accesos,"Cases, a case's window"
Access reference,Referencia de acceso,"Settings, the role reference, printed, the footer"
"Access reference, generated {0}","Referencia de acceso, generada el {0}","Settings, the role reference, printed"
Account Capability Diagnostic,Diagnóstico de capacidades de la cuenta,"Forms, Settings"
Account Type,Tipo de cuenta,"Forms, Settings"
Action,Acción,"Sites, the printed timeline, a column; Staff Management, the printed timeline; Forms, PDF Access Log, a column"
Actions,Acciones,"Shift Pickup; Sites, the list; Vendors, the list; Staff Management, the list"
Activate,Activar,"Settings, Dropdown Options"
Active,Activo,"Schedule, Patterns"
Active Sites,Sitios activos,"Service Catalog, a service"
Active only,Solo activas,"HR Records, Employees, the status filter, which agrees with personas"
Activity Description,Descripción de la actividad,"Sites, a record's printed page; Staff Management, a record's printed page"
Activity Timeline,Historial de actividad,"Issue Tracker, the issue window; Assigned Tasks, the task window"
Activity Timeline ({0} total),Historial de actividad ({0} en total),"Staff Management, the Timeline tab, its heading"
Activity log,Registro de actividad,"Settings, Roles and Permissions, the role reference"
Add,Agregar,"Sites, Supplies; HR Records; Vendors, a vendor's evaluations; Staff Management, the Certifications tab; Settings, Site Lookups; Settings, Who gets told; Forms, Aliases, adding an alias"
Add Alias,Agregar un alias,"Forms, Aliases"
Add Building,Agregar edificio,"Settings, Site Lookups"
Add Category,Agregar categoría,"Settings, Dropdown Options"
Add Certification,Agregar certificación,"Staff Management, Add Certification, its title and its button"
Add Custom Onboarding Step,Agregar un paso de incorporación personalizado,"HR Records, adding an onboarding step"
Add Document,Agregar documento,"HR Records, adding a document"
Add Evaluation,Agregar una evaluación,"Vendors, adding an evaluation"
Add Floor,Agregar piso,"Settings, Site Lookups"
Add Item,Agregar el elemento,"Inspections, a template, adding a line item"
Add Line Item,Agregar un elemento,"Inspections, a template"
Add New Staff,Agregar a una persona,"Staff Management, Add New Staff, its title"
Add Service,Agregar servicio,"Service Catalog; Service Catalog, adding a service"
Add Site,Agregar sitio,"Sites, the list"
Add Staff,Agregar persona,"Staff Management, the list, the button that opens Add New Staff; Staff Management, Add New Staff, its button"
Add Step,Agregar el paso,"HR Records, adding an onboarding step"
Add Supply,Agregar suministro,"Sites, Supplies; Inventory; Inventory, adding a supply"
Add Supply to Site,Agregar un suministro al sitio,"Sites, Supplies"
Add Task,Agregar tarea,"Sites, Service Details"
Add Training Record,Agregar un registro de capacitación,"HR Records, adding a training record"
Add Value,Agregar valor,"Settings, Dropdown Options; Settings, Site Lookups"
Add Value to {0},Agregar valor a {0},"Settings, Dropdown Options"
Add Vendor,Agregar proveedor,"Vendors, the list; Vendors, adding a vendor"
Add Zone,Agregar zona,"Settings, Site Lookups"
Add a note saying why,Agregue una nota explicando por qué,"Schedule, Time off, when a denial has no note"
Add a note...,Agregue una nota...,"Inventory, approving or denying a supply request"
Add a person,Agregar una persona,"Settings, Who gets told"
Add a person to {0},Agregar una persona a {0},"Settings, Who gets told, for a screen reader"
Add a photo,Agregar una foto,"Help, the camera button"
Add an email address,Agregar un correo,"Settings, Who gets told"
Add an email address to {0},Agregar un correo a {0},"Settings, Who gets told, for a screen reader"
Add failed,No se pudo agregar,"Forms, Aliases, a toast"
"Add the environment variable JOTFORM_API_KEY in Railway, then reload this page. Generate a Full Access key from jotform.com under Settings then API.","Agregue la variable de entorno JOTFORM_API_KEY en Railway y vuelva a cargar esta página. Genere una clave de acceso completo en jotform.com, en Settings y luego API.","Forms, when the API has no Jotform key"
Add {0} to your home screen,Agregue {0} a su pantalla de inicio,"The add to home screen sheet, the title"
Added,Agregado,"Settings, Site Lookups; Forms, Aliases, a column"
Added By,Agregado por,"Forms, Aliases, a column"
Added. Temp PIN: {0},Persona agregada. PIN temporal: {0},"Staff Management, Add New Staff, once the person is added"
Adding...,Agregando...,"Forms, Aliases, while an alias is added"
Additional details about this shift...,Detalles adicionales sobre este turno...,Shift Pickup
Address,Dirección,"Sites, editing a site; Vendors, a vendor; Vendors, adding or editing a vendor; Staff Management, the Profile tab; Settings, the Company tab"
Address *,Dirección *,"Sites, adding a site"
Address Line 1,"Dirección, línea 1","Staff Management, the Profile tab, the form"
Address Line 2,"Dirección, línea 2","Staff Management, the Profile tab, the form"
Admin,Administrador,"The shell; Dashboard; Live Operations, a person's role; Sites, General Info, a person's role; HR Records, a person's role; Staff Management, the list; Cases, a case's window, the access log; Settings, Roles and Permissions, the role reference, a column"
Admin Dashboard,Panel de administración,The shell
Admin access required,Se requiere acceso de administrador,The shell
Administered By,Impartida por,"HR Records, Training; HR Records, adding a training record; HR Records, logging training for several people; HR Records, the printed attendance sheet"
Administration,Administración,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, by person, a group"
Administrator,Administrador,The shell
Age,Antigüedad,"Cases, the list, a column"
Alaska Time (Anchorage),Hora de Alaska (Anchorage),"Settings, the Company tab, a time zone"
Alias added.,Alias agregado.,"Forms, Aliases, a toast"
Alias removed.,Alias quitado.,"Forms, Aliases, a toast"
Alias value is required,El valor del alias es obligatorio,"Forms, Aliases, a toast"
Aliases,Alias,"HR Records, Compliance; Forms, a tab"
All ({0}),Todos ({0}),"HR Records, a folder, every record, which agrees with registros"
All Buildings,Todos los edificios,"Assigned Tasks, the building filter"
All Employees,Todo el personal,"HR Records, the person filter"
All Floors,Todos los pisos,"Assigned Tasks, the floor filter"
All Reasons,Todos los motivos,Shift Pickup
All Sites,Todos los sitios,"Schedule; Shift Pickup; Assigned Tasks, the site filter; Inspections, Reports"
All Staff,Todo el personal,"Assigned Tasks, the person filter"
All Status,Todos los estados,"Assigned Tasks, the state filter"
All Zones,Todas las zonas,"Assigned Tasks, the zone filter"
All actions,Todas las acciones,"Forms, PDF Access Log, a filter"
All categories,Todas las categorías,"Reports, the supply report, a filter; Reports, adding or editing a supply report; Reports, the supply report's printed page; Forms, Form Library, a filter"
All current,Todo al día,"HR Records, Employees, a card"
All day,Todo el día,"Schedule, Time off, a request that covers the whole day"
All forms,Todos los formularios,"Forms, Filed forms, the form filter; Forms, Submissions, the form filter"
All people,Todas las personas,"Schedule, Patterns"
All roles,Todos los roles,"HR Records, Employees, the role filter; Staff Management, the list"
All severities,Todas las severidades,"Reports, the issue report, a filter; Reports, adding or editing an issue report; Reports, the issue report's printed page"
All sites,Todos los sitios,"Schedule, Patterns; Reports, adding or editing a report; Reports, a report's filter and printed page; HR Records, Training, who has no record of a training; Forms, Filed forms, the site filter"
All statuses,Todos los estados,"HR Records, Employees, the status filter; Forms, Submissions, a filter"
All supplies are already assigned to this site,Todos los suministros ya están asignados a este sitio,"Sites, Supplies"
Allow,Permitir,"Settings, Roles and Permissions, by person"
Allow pop-ups to export the PDF,Permita las ventanas emergentes para exportar el PDF,"Reports, exporting a report's PDF"
Allow pop-ups to print the sheet,Permita las ventanas emergentes para imprimir la hoja,"HR Records, Training and logging training for several people, printing an attendance sheet with pop-ups blocked"
Already Synced?,¿Ya sincronizado?,"Forms, Sync Diagnostic, the failures, a column"
"Already logged, not sent again","Ya tenían este registro, no se enviaron de nuevo","HR Records, logging training for several people, the people who already have this training on this day"
Ambiguous: {0},Ambiguos: {0},"Forms, Submissions, the toast after auto-link"
Analytics,Análisis,Shift Pickup
Annual,Anual,"Sites, editing a site, Billing; Forms, Form Library, a form's expiry"
Annual renewal required,Requiere renovación anual,"Forms, editing a form"
Answered,Respondidas,"Forms, Filed forms, a column"
Any result,Cualquier resultado,"Forms, PDF Access Log, a filter"
Applies to both the on-screen view and the PDF export.,Se aplica a la vista en pantalla y a la exportación a PDF.,"Reports, adding or editing a report"
Approval Status,Estado de aprobación,"Vendors, adding or editing a vendor"
Approve,Aprobar,"Schedule; Shift Pickup; Schedule, a time off request; Inventory, a supply request; Staff Management, the list"
Approve Drop,Aprobar la baja,Schedule; Shift Pickup
Approve Request,Aprobar la solicitud,"Inventory, approving a supply request"
Approve and deny time off,Aprobar y denegar tiempo libre,"Settings, Roles and Permissions, a capability's name"
Approved,Aprobada,"Shift Pickup; Schedule, Time off; Staff Management, the list"
Approved Shift,Turno aprobado,Schedule
Approved Vendor List exported,Lista de proveedores aprobados exportada,"Vendors, Export AVL"
"Apt, suite, etc.","Apto., oficina, etc.","Staff Management, the Profile tab, the form, an example"
Archive,Archivar,"Forms, a submission's window"
Archived,Archivado,"Forms, Submissions, a status"
Areas Needing Improvement,Áreas que necesitan mejorar,"Inspections, Reports, the printed report"
Asked,Solicitado,"Schedule, Time off; Schedule, a time off request"
Assign,Asignar,"Schedule; Shift Pickup; Staff Management, the Assignments tab"
Assign Issue as Task,Asignar la incidencia como tarea,"Issue Tracker, giving an issue to a person"
Assign Task,Asignar la tarea,"Issue Tracker, giving an issue to a person"
Assign To,Asignar a,"Sites, adding a task"
Assign To *,Asignar a *,"Issue Tracker, giving an issue to a person; Assigned Tasks, creating a task"
Assign as Task,Asignar como tarea,"Issue Tracker, the issue window"
Assign to Site,Asignar a un sitio,"Staff Management, Assign to Site, its title"
Assigned,Asignado,"Shift Pickup; Staff Management, the Assignments tab"
Assigned Staff ({0}),Personal asignado ({0}),"Sites, General Info"
Assigned Supervisor,Supervisor asignado,"Schedule; Inspections, scheduling or editing an inspection"
Assigned Task,Tarea asignada,"Forms, linking a submission, a kind of record"
Assigned Tasks,Tareas asignadas,The shell; Assigned Tasks
Assigned To,Asignada a,"Issue Tracker, the issue window, who holds the incidencia; Assigned Tasks, the task window, who holds the tarea; Inspections, an inspection"
Assigned to: {0},Asignada a: {0},"Issue Tracker, an incidencia given to somebody; Assigned Tasks, a tarea given to somebody"
Assignment email,Correo de asignación,"Cases, a case's window, the access log"
Assignments,Asignaciones,"Staff Management, a person's profile, a tab"
Attach the filled report as a PDF,Adjuntar el informe completado en PDF,"Settings, Who gets told"
Attached,Adjunto,"Assigned Tasks, creating a task, the attached file for a screen reader"
Attached Photo,Foto adjunta,"Assigned Tasks, the task window; Inspections, an inspection, a line item"
Attached Video,Video adjunto,"Assigned Tasks, the task window"
Attempted,Intentado,"Forms, Sync Diagnostic, the failures, a column"
Attendance sheet,Hoja de asistencia,"HR Records, the printed attendance sheet, its title and heading"
Auto-link complete.,Vinculación automática terminada.,"Forms, Submissions, the toast after auto-link"
Auto-link failed: {0},La vinculación automática falló: {0},"Forms, Submissions, a toast"
Available Metadata,Metadatos disponibles,"Staff Management, a record's window, when the record is not found"
Average,Promedio,"Shift Pickup; Inspections, Reports, the printed report"
Average score by site,Puntaje promedio por sitio,"Reports, adding or editing an inspection report; Reports, the inspection report, a chart and its printed page"
Average score percent over time,Porcentaje de puntaje promedio a lo largo del tiempo,"Reports, the inspection report, a chart"
"Average score percent, lowest first","Porcentaje de puntaje promedio, el más bajo primero","Reports, the inspection report, a chart"
Avg (min),Prom. (min),Shift Pickup
Avg Fill Time,Tiempo medio de cobertura,Shift Pickup
Avg Score,Puntaje promedio,"Sites, Shifts & Schedule; Inspections, Reports"
Avg Score (30d),Puntaje promedio (30 d),"Sites, a site's profile"
Avg score,Puntaje promedio,"Reports, the inspection report and its printed page"
Avg score %,Puntaje promedio %,"Reports, the inspection report, a chart's legend and tooltip"
Back,Volver,"Inspections, an inspection"
Back to Dashboard,Volver al panel,The admin line
Back to Employees,Volver al personal,"HR Records, a folder"
Back to Sites,Volver a Sitios,"Sites, a site's profile"
Back to Staff,Volver al personal,"Staff Management, a person's profile"
Back to reports,Volver a los informes,"Reports, a report being run"
Backfill complete.,Relleno terminado.,"Forms, Submissions, the toast after the PDF backfill"
Backfill failed: {0},El relleno falló: {0},"Forms, Submissions, a toast"
Backfilling...,Rellenando...,"Forms, Submissions, while the PDF backfill runs"
Based on {0},Según {0},"Help, the documents an answer comes from"
Benefits / Payroll,Beneficios / Nómina,"HR Records, a record's category"
Bi-Weekly,Quincenal,"Sites, editing a site, Billing"
Billing,Facturación,"Sites, General Info; Sites, editing a site"
Biohazard Incident and Exposure Report,Informe de Incidente y Exposición a Riesgo Biológico,"Settings, Who gets told, a form's title"
Birthday,Fecha de nacimiento,"Staff Management, the Profile tab"
Bldg: {0},Edificio: {0},"Shift Pickup, a shift card"
Branding,Marca,"Settings, the Company tab"
Building,Edificio,"Schedule, a pattern; Schedule; Shift Pickup; Assigned Tasks, the task window; Assigned Tasks, creating a task; Sites, adding or editing a task; Settings, Site Lookups"
Buildings,Edificios,"Settings, Site Lookups"
Bulk Upload PDFs,Subir PDF en bloque,"Forms, Submissions"
